A=5307 B=3452 C=7342 X=402770303 Y=7229364850 Z=97035273079 M=7931
A=2212 B=5222 C=7750 X=955161740 Y=3784619395 Z=48731688556 M=5034
A=4588 B=3285 C=7817 X=146149881 Y=7975928764 Z=67733056728 M=6069
A=4467 B=4093 C=6936 X=350339917 Y=1609399112 Z=63865664937 M=4152
A=7867 B=7818 C=7419 X=310479181 Y=1871972673 Z=45992716100 M=4709
A=8435 B=3112 C=6098 X=675338788 Y=7468888232 Z=26657170501 M=9946
A=3424 B=7273 C=9542 X=143106656 Y=2369440602 Z=69860129298 M=8268
A=5358 B=5739 C=8981 X=344495708 Y=9808313943 Z=77762118690 M=7349
A=2056 B=4325 C=8216 X=241415324 Y=7793737125 Z=20521698878 M=5191
A=4915 B=8662 C=8301 X=934444992 Y=5161809392 Z=98701095379 M=8056
A=3009 B=3979 C=6769 X=160883199 Y=8529569624 Z=96066359104 M=4431
A=3469 B=7791 C=5700 X=432893002 Y=5831444600 Z=84669661692 M=2245
A=4533 B=9769 C=9942 X=627523479 Y=4374857120 Z=10156476214 M=2903
A=6280 B=6211 C=6924 X=827060506 Y=3513928969 Z=62922981042 M=6795
A=2360 B=4835 C=9708 X=369022650 Y=2615948438 Z=12137675219 M=8587
A=6458 B=3785 C=5706 X=747622284 Y=7600645513 Z=96705206334 M=4496
A=8627 B=9239 C=9873 X=148348339 Y=4593981118 Z=63143102548 M=6149
A=6606 B=6287 C=5726 X=421425497 Y=4425741558 Z=25471379803 M=9484
A=9006 B=8216 C=8925 X=849765129 Y=1106292817 Z=95172598770 M=1007
A=4936 B=3224 C=7763 X=978732755 Y=3773274581 Z=60494551507 M=5266
A=4181 B=9540 C=9275 X=613822195 Y=3211741938 Z=39788847989 M=3868
A=5421 B=4233 C=5487 X=555687390 Y=4162796814 Z=10339882473 M=4188
A=9872 B=7081 C=5287 X=191963643 Y=3383796466 Z=18893593984 M=2627
A=4333 B=7706 C=9840 X=672116551 Y=8578734357 Z=87240678295 M=3461
A=8135 B=8343 C=6367 X=702707617 Y=9931779075 Z=14738319914 M=2721
A=2381 B=4917 C=7277 X=339485912 Y=4613861241 Z=95734622248 M=8341
A=2553 B=7764 C=7008 X=282909375 Y=7231735977 Z=32967641778 M=3151
A=4691 B=3054 C=5193 X=210692075 Y=9272201706 Z=44365313640 M=8379
A=9341 B=4596 C=5325 X=499850358 Y=4365082260 Z=85641599981 M=4810
A=9579 B=8754 C=8058 X=915442717 Y=3120080097 Z=12535438350 M=9302
A=5701 B=3277 C=5978 X=633604985 Y=7990776302 Z=42048008290 M=2019
A=2867 B=3466 C=7841 X=657282644 Y=5359146223 Z=10240906877 M=1286
A=3131 B=9202 C=7192 X=403390530 Y=3928634507 Z=24990444115 M=9124
A=8599 B=8623 C=9052 X=325370098 Y=1460421397 Z=91896581816 M=4120
A=9830 B=6423 C=6983 X=468540226 Y=2976742018 Z=83989494014 M=1109
A=6953 B=6435 C=8685 X=276490613 Y=4431691329 Z=76671607415 M=1027
A=6510 B=8220 C=9389 X=542021170 Y=8765199016 Z=75531498001 M=5196
A=8978 B=8565 C=5955 X=549916856 Y=7813866184 Z=96033359130 M=3173
A=5235 B=3091 C=7987 X=280296037 Y=9107865136 Z=43013964983 M=3591
A=8588 B=4553 C=5407 X=678891310 Y=1457848393 Z=39691306737 M=3739
A=5249 B=8659 C=9488 X=299406324 Y=7874442549 Z=49095823156 M=8981
A=7661 B=9441 C=5444 X=350715440 Y=6548163826 Z=81337972755 M=3066
A=8305 B=8637 C=5725 X=939309951 Y=4576034929 Z=75117118770 M=3597
A=3685 B=6378 C=6954 X=565281905 Y=7374330062 Z=85760654671 M=4679
A=7740 B=8393 C=6022 X=595131776 Y=2332429857 Z=32559780817 M=5387
A=8993 B=3920 C=6764 X=926911825 Y=8087591237 Z=66319279312 M=1871
A=3335 B=3307 C=9070 X=591272295 Y=9548262069 Z=17402866294 M=7930
A=3733 B=4657 C=5630 X=643765778 Y=8390441631 Z=32941284663 M=4463
A=2103 B=6078 C=9561 X=533217647 Y=5713644366 Z=19223228619 M=3420
A=4861 B=5275 C=8733 X=789265885 Y=8079388397 Z=53344159978 M=4695
A=2582 B=7059 C=5614 X=265040761 Y=5120912643 Z=19180000855 M=9664
A=5138 B=5755 C=5458 X=683698820 Y=4036516147 Z=24961352624 M=8958
A=6099 B=8788 C=9315 X=997221484 Y=3566151266 Z=30958436885 M=2537
A=6118 B=6663 C=5810 X=899960086 Y=6648131329 Z=27214652285 M=9544
A=9984 B=3896 C=5087 X=946365808 Y=6689137496 Z=85937386044 M=4100
A=4360 B=4914 C=6780 X=331993614 Y=8716282097 Z=91697333188 M=3085
A=9594 B=9866 C=9894 X=289449527 Y=6533948205 Z=19152711201 M=5943
A=7810 B=6803 C=6529 X=130717065 Y=5335308884 Z=55985218079 M=9561
A=9087 B=4982 C=8044 X=578160841 Y=4967108359 Z=27121909821 M=9470
A=5601 B=8510 C=8696 X=558459928 Y=4032577187 Z=89641344398 M=7379
A=9579 B=6569 C=7761 X=945730600 Y=8377570476 Z=91470300763 M=5128
A=4706 B=7239 C=9355 X=856645381 Y=3038120195 Z=72383292194 M=1871
A=2027 B=4436 C=9088 X=285202234 Y=9304121146 Z=14336208778 M=6473
A=6508 B=3710 C=9071 X=154575322 Y=2393875705 Z=90687637759 M=7929
A=3440 B=9776 C=9534 X=653961398 Y=4460139012 Z=98207479503 M=5687
A=9970 B=9437 C=9438 X=102778272 Y=5982191527 Z=89779485105 M=9235
A=2881 B=7712 C=9901 X=521123620 Y=2611775933 Z=86404612803 M=9969
A=9134 B=5978 C=9229 X=606722530 Y=1602857949 Z=25086026006 M=5588
A=2258 B=5141 C=9597 X=145117736 Y=3686138723 Z=49343036618 M=9629
A=6689 B=8031 C=6706 X=323030725 Y=2642217273 Z=59924823557 M=8979
A=3648 B=9030 C=5905 X=873898677 Y=6674970837 Z=58903646582 M=6256
A=7669 B=4970 C=7673 X=222554766 Y=9116457311 Z=99049322827 M=5417
A=8372 B=4270 C=6487 X=351996531 Y=9774724593 Z=32287598945 M=6032
A=6352 B=5872 C=7818 X=952586560 Y=5834410012 Z=15780095220 M=6874
A=5505 B=6438 C=5758 X=823713005 Y=9932847417 Z=44157752120 M=3124
A=4246 B=7649 C=7787 X=330037529 Y=8982057407 Z=17519230570 M=7306
A=5697 B=8563 C=5998 X=267491208 Y=4011858770 Z=82077831480 M=6645
A=2273 B=6836 C=7135 X=634026740 Y=1520227054 Z=12868770407 M=7603
A=5047 B=5710 C=5653 X=192644021 Y=2680547057 Z=25537530940 M=7954
A=3264 B=7387 C=5989 X=622785060 Y=2583432771 Z=61205368211 M=9697
A=4578 B=7608 C=9307 X=354895344 Y=6837434326 Z=58428526767 M=2336
A=8389 B=4861 C=9929 X=341493377 Y=8113694129 Z=49500893855 M=1204
A=7180 B=7406 C=7895 X=563656588 Y=7886927310 Z=84861266843 M=9100
A=9337 B=7527 C=8015 X=976396733 Y=3645071206 Z=11318248836 M=4458
A=7299 B=6498 C=8440 X=259929181 Y=4019845102 Z=76359378479 M=6962
A=2635 B=7925 C=7212 X=113477481 Y=4504406041 Z=11129482970 M=5510
A=6460 B=9302 C=7063 X=897160660 Y=8755985480 Z=97024863912 M=3805
A=3728 B=3239 C=5786 X=391669174 Y=8085258976 Z=47251159824 M=3850
A=6912 B=9955 C=9973 X=430362894 Y=7106882696 Z=83919358921 M=3627
A=2574 B=6409 C=9497 X=518848417 Y=8749673015 Z=13544810282 M=1497
A=9653 B=8283 C=6247 X=739766874 Y=9390678228 Z=55878558829 M=2946
A=4162 B=3977 C=7058 X=661365403 Y=5142121546 Z=92758108288 M=5811
A=2009 B=6696 C=8750 X=295763441 Y=2641659272 Z=64422893140 M=3027
A=7673 B=7960 C=5647 X=790363722 Y=4671240688 Z=92988050150 M=9298
A=9144 B=8326 C=7991 X=564243239 Y=3308388241 Z=80678208426 M=8762
A=8607 B=5292 C=8841 X=449990439 Y=5190719728 Z=32828484190 M=4883
A=5569 B=7261 C=9565 X=623961593 Y=5440549414 Z=31831003070 M=3785
A=4240 B=7324 C=7769 X=937909235 Y=5122905581 Z=99897114441 M=1861
A=2540 B=9175 C=6415 X=106848512 Y=4657850995 Z=24721839320 M=2201
A=6047 B=6915 C=6135 X=964457966 Y=7515779863 Z=52957841885 M=5044
A=9964 B=7781 C=5384 X=929363680 Y=4361567967 Z=59952397581 M=2793
A=2621 B=6228 C=5618 X=890114480 Y=7747301930 Z=20273125446 M=9702
A=9420 B=7833 C=8739 X=282359733 Y=1632085929 Z=58066175463 M=7611
A=9380 B=3152 C=7610 X=916212591 Y=9485289489 Z=35649646713 M=8578
A=6641 B=8567 C=9235 X=305550932 Y=1472494802 Z=18863089053 M=7487
A=4645 B=3070 C=8257 X=941056688 Y=7484034287 Z=53778684304 M=5982
A=4667 B=8640 C=5050 X=173737162 Y=9472952541 Z=99044273571 M=7270
A=2494 B=5628 C=5924 X=689810008 Y=7255018783 Z=43682276497 M=4348
A=4070 B=8811 C=8773 X=201292504 Y=3451477430 Z=38591073886 M=8549
A=5333 B=6232 C=7654 X=457965673 Y=4426480645 Z=52154867233 M=6525
A=8558 B=7406 C=5852 X=345226837 Y=9754912136 Z=35404084114 M=9146
A=6084 B=6434 C=6970 X=136885276 Y=6848591846 Z=22398164007 M=2801
A=7891 B=5782 C=5669 X=833367319 Y=3477300670 Z=98457345950 M=5641
A=4238 B=9854 C=9213 X=608960120 Y=7785499750 Z=66940272590 M=1386
A=5727 B=7889 C=7331 X=847834091 Y=9013484828 Z=75528273938 M=4920
A=7587 B=7607 C=8056 X=533141848 Y=2609334574 Z=58821649265 M=3806
A=3562 B=9427 C=6479 X=359111671 Y=4582113487 Z=95244076521 M=3623
A=2775 B=8343 C=8397 X=664765432 Y=8322483808 Z=57635307454 M=9063
A=2516 B=5550 C=5676 X=131374938 Y=6550196531 Z=79909044131 M=6093
A=8316 B=6812 C=8058 X=103286392 Y=2950082292 Z=86170325221 M=2169
A=8965 B=6926 C=6305 X=842420013 Y=2933806696 Z=65357730113 M=7502
A=9978 B=8998 C=6341 X=599665787 Y=6899916560 Z=19862968926 M=2025
A=4813 B=4650 C=5504 X=456852113 Y=3462995600 Z=29481762902 M=8702
A=9144 B=3511 C=7203 X=263812237 Y=6587377616 Z=98270033091 M=9521
A=9677 B=8820 C=7634 X=881445081 Y=7242659786 Z=14888720108 M=4583
A=2243 B=5927 C=6935 X=954576108 Y=9023068745 Z=25170687669 M=8285
A=3480 B=8380 C=9445 X=276993537 Y=1352275328 Z=62936513192 M=9728
A=8451 B=9984 C=5066 X=294471205 Y=7760453338 Z=24150291917 M=8093
A=7957 B=7062 C=6172 X=274893999 Y=6301440949 Z=25221351278 M=7904
A=6612 B=3200 C=8334 X=598888067 Y=2644031724 Z=66212057763 M=3417
A=2257 B=8485 C=7798 X=703900681 Y=2398017097 Z=70003086343 M=5319
A=3659 B=8452 C=9233 X=886963721 Y=6499753347 Z=11369688023 M=2551
A=7903 B=6472 C=5907 X=823416766 Y=3691518606 Z=60881371131 M=4784
A=7620 B=9276 C=8653 X=804109835 Y=9817054555 Z=27632076101 M=5178
A=6586 B=9551 C=7354 X=153418229 Y=2252702114 Z=50355375430 M=3426
A=6312 B=5107 C=5656 X=229323138 Y=4362717304 Z=81290195596 M=7750
A=7435 B=5972 C=9765 X=871618597 Y=8142751937 Z=17829733120 M=9126
A=4317 B=5760 C=5802 X=318445642 Y=6731648597 Z=15764690062 M=5964
A=4533 B=5276 C=9898 X=974521091 Y=7865832651 Z=81848007022 M=9448
A=3145 B=6866 C=7553 X=872669696 Y=6240817905 Z=77864955433 M=6392
A=3010 B=9309 C=5349 X=731606324 Y=8905463287 Z=85156310767 M=4726
A=9449 B=7306 C=9857 X=133888983 Y=7739259897 Z=43082083093 M=6049
A=7533 B=4074 C=6105 X=950917620 Y=9070765341 Z=16542927720 M=2556
A=4155 B=7448 C=6590 X=913614216 Y=3719558387 Z=53278250102 M=9413
A=6929 B=7091 C=6323 X=138515110 Y=1593430442 Z=86354548630 M=7973
A=4695 B=9245 C=8223 X=711403683 Y=4755072806 Z=90222842780 M=1666
A=2351 B=9632 C=9820 X=327595021 Y=7384385804 Z=69780082232 M=4583
A=4576 B=7435 C=6595 X=709865152 Y=8259934249 Z=55812708300 M=8957
A=5274 B=8029 C=7678 X=901158877 Y=5234313946 Z=47533362944 M=3396
A=4280 B=9302 C=8349 X=897457143 Y=3706897252 Z=92428227051 M=2685
A=6103 B=9578 C=9563 X=958896656 Y=8916157438 Z=60689259042 M=5767
A=4793 B=6507 C=9645 X=366144465 Y=9835563865 Z=98749975456 M=4871
A=8367 B=8392 C=6068 X=376148632 Y=7210367459 Z=87916281271 M=7120
A=9783 B=3758 C=6493 X=337201533 Y=6684595810 Z=95744851823 M=5297
A=5137 B=7741 C=8882 X=964713545 Y=2883742547 Z=84770022325 M=9337
A=3884 B=8470 C=5672 X=637466864 Y=9689287243 Z=25859635562 M=6296
A=6563 B=5891 C=8969 X=407963589 Y=9595611992 Z=39137757197 M=2019
A=6348 B=3590 C=6169 X=481617507 Y=6804299390 Z=70977244186 M=2243
A=3280 B=5927 C=8584 X=376756463 Y=5490157537 Z=21781749537 M=6125
A=4499 B=5570 C=5455 X=510385455 Y=2183368314 Z=43892907011 M=4890
A=6268 B=3907 C=6989 X=473589387 Y=5066601010 Z=25304657749 M=6181
A=9493 B=3484 C=9930 X=694254823 Y=3821424615 Z=46367106709 M=7506
A=2076 B=5821 C=8494 X=557656328 Y=3326531376 Z=47785877821 M=9920
A=7675 B=5541 C=9736 X=658656897 Y=6339138743 Z=47961105521 M=8975
A=5708 B=5837 C=5997 X=548589086 Y=9169183690 Z=30302797984 M=7279
A=9973 B=5519 C=6858 X=379076368 Y=1654972077 Z=73826507042 M=6473
A=6753 B=6979 C=8585 X=132724140 Y=8763420076 Z=80690663797 M=9071
A=7982 B=5389 C=9830 X=948395224 Y=8455232328 Z=80814345210 M=1771
A=5953 B=5350 C=6451 X=470860209 Y=6502206266 Z=44932677537 M=9686
A=9611 B=5021 C=7169 X=664586207 Y=5677513672 Z=89887842364 M=9655
A=3655 B=3184 C=5022 X=860558422 Y=6446538454 Z=74011744144 M=8959
A=4260 B=3207 C=5964 X=753796802 Y=3621318704 Z=50356057715 M=2785
A=3235 B=3841 C=9215 X=270530075 Y=1467899458 Z=95902773197 M=2348
A=5080 B=8659 C=7848 X=311820910 Y=1518638664 Z=75007399778 M=6721
A=2000 B=4000 C=8000 X=707829789 Y=1845269529 Z=56706555200 M=2000
A=9938 B=5581 C=5928 X=811281229 Y=3627929249 Z=92343011626 M=7123
A=8597 B=5810 C=9090 X=464793641 Y=6450850090 Z=78505369306 M=3014
A=4867 B=5028 C=9000 X=468707500 Y=7395703079 Z=59414521107 M=4508
A=7261 B=4050 C=6159 X=740124732 Y=1410937745 Z=27168208761 M=7511
A=2215 B=7030 C=5020 X=287646661 Y=9479031196 Z=99727977003 M=4380
A=9068 B=6539 C=9063 X=808021718 Y=4234242266 Z=91078074560 M=8924
A=3956 B=4129 C=6794 X=947235144 Y=5048337185 Z=46168221030 M=5938
A=9612 B=6657 C=9666 X=753158981 Y=1422918195 Z=15082341462 M=9722
A=4103 B=8617 C=8280 X=688704547 Y=4599840814 Z=43837340182 M=6937
A=5006 B=4290 C=5307 X=969115580 Y=3653019160 Z=53626580767 M=7557
A=9361 B=4985 C=8012 X=203282218 Y=1854439323 Z=92422872235 M=7890
A=2231 B=6347 C=5268 X=703887715 Y=8496473854 Z=72062272263 M=1205
A=8114 B=5576 C=8514 X=251050521 Y=9763692271 Z=49916519532 M=9074
A=9030 B=7798 C=9711 X=239529403 Y=5494231477 Z=15345973852 M=7850
A=5352 B=7273 C=5068 X=890692221 Y=5373218186 Z=28185796016 M=3434
A=6095 B=5234 C=6069 X=935177455 Y=2192835059 Z=76780305733 M=1893
A=8582 B=6457 C=7212 X=612954285 Y=7137739797 Z=59701323015 M=9728
A=3358 B=5038 C=7301 X=760342949 Y=7651664330 Z=20640703726 M=2914
A=4034 B=4560 C=9083 X=842129341 Y=3475206740 Z=92444980089 M=9997
A=4363 B=3356 C=9245 X=841251235 Y=3182316854 Z=76180984678 M=3759
A=2517 B=7209 C=5527 X=208691741 Y=4868539628 Z=80758239028 M=3577
A=8047 B=6786 C=5142 X=534334741 Y=8721705809 Z=81008995463 M=5738
A=8956 B=3395 C=6440 X=278650966 Y=1516812232 Z=91951493173 M=9367
A=6050 B=8072 C=8961 X=474697883 Y=2214909024 Z=76235255289 M=4125
A=7600 B=3178 C=9956 X=372765140 Y=2987296707 Z=74385787903 M=1347
A=3519 B=3702 C=9479 X=197942510 Y=9546673513 Z=96504480417 M=6266
A=4031 B=8105 C=7812 X=504646387 Y=9927916393 Z=36211613631 M=4307
A=3262 B=5857 C=8817 X=651959646 Y=9454452779 Z=46039345344 M=8230
A=5158 B=6947 C=7016 X=644958545 Y=1006003802 Z=12502155000 M=8394
A=8756 B=4673 C=6344 X=865552078 Y=6807114133 Z=96963427030 M=2330
A=5423 B=9318 C=7529 X=699457862 Y=2258774549 Z=49984993296 M=6657
A=7238 B=7304 C=9548 X=994119633 Y=5113915575 Z=19643562089 M=8872
A=7900 B=3810 C=6499 X=698100480 Y=9696545220 Z=78441553976 M=6331
A=8559 B=3490 C=8658 X=224704738 Y=1927939769 Z=79660951824 M=4064
A=2100 B=9600 C=5894 X=453532604 Y=6851553786 Z=72835503379 M=4894
A=2841 B=5656 C=6571 X=946378984 Y=2312711113 Z=36480939050 M=3103
A=2437 B=9158 C=6257 X=903683075 Y=4389404035 Z=26564202549 M=1293
A=8170 B=7211 C=5077 X=785187338 Y=7056308018 Z=97914725467 M=6777
A=7222 B=5680 C=6638 X=379073207 Y=3177055040 Z=97894100933 M=4463
A=5007 B=4225 C=5386 X=825059315 Y=6834078960 Z=84639032150 M=4512
A=4591 B=6468 C=8400 X=718344817 Y=3049721878 Z=96198950841 M=5265
A=3002 B=9251 C=5140 X=415308925 Y=8201833718 Z=83407148780 M=7324
A=6780 B=4395 C=5608 X=288784229 Y=4163089435 Z=18129570034 M=6688
A=2086 B=7168 C=7066 X=325423128 Y=9916510029 Z=80966738153 M=4538
A=5795 B=7357 C=6139 X=602808041 Y=7047250998 Z=33067304973 M=6046
A=4305 B=4358 C=7737 X=431707240 Y=1099958887 Z=88062024521 M=7096
A=6797 B=8164 C=5858 X=208518993 Y=4192248713 Z=53871384205 M=3910
A=9679 B=3490 C=9681 X=302028718 Y=6362744931 Z=84188808220 M=2034
A=4855 B=5781 C=6739 X=209769314 Y=4078288150 Z=88889155444 M=9241
A=4926 B=4965 C=9323 X=377433031 Y=4209016656 Z=62369631647 M=3619
A=6944 B=3084 C=9156 X=881078644 Y=9084594158 Z=66529229484 M=1200
A=9521 B=7861 C=5875 X=274874789 Y=7018030872 Z=47058480508 M=9889
A=3905 B=9530 C=7205 X=852232459 Y=1153671569 Z=85089878552 M=6743
A=9426 B=9903 C=5897 X=471288971 Y=9874941490 Z=76868965043 M=7835
A=4456 B=5760 C=6222 X=544748311 Y=3762775331 Z=33788729420 M=3334
A=9717 B=3645 C=9330 X=198688150 Y=2941832398 Z=63030043381 M=4561
A=7463 B=7388 C=8597 X=110536796 Y=6503033121 Z=54658992177 M=9316
A=2196 B=5474 C=7198 X=440054543 Y=9927104520 Z=46516044205 M=5310
A=9181 B=5704 C=5860 X=914226548 Y=7430588751 Z=73938038621 M=3347
A=6381 B=5279 C=9136 X=127283512 Y=3254498991 Z=88884880946 M=5906
A=9476 B=9065 C=8275 X=400534548 Y=3685317755 Z=49539083081 M=5055
A=3094 B=5286 C=7267 X=695476462 Y=9834570698 Z=66961198553 M=5608
A=7637 B=3042 C=9458 X=128644285 Y=7406714823 Z=32326904589 M=7145
A=8736 B=6520 C=5538 X=757746600 Y=7741241572 Z=98934609257 M=7432
A=7868 B=4448 C=6992 X=172952419 Y=6559880532 Z=95711090088 M=9948
A=6074 B=8345 C=8343 X=371794109 Y=4758397953 Z=67565211604 M=5035
A=6565 B=3049 C=7030 X=823385445 Y=5830930277 Z=34947602116 M=6560
A=3846 B=8861 C=6846 X=211970582 Y=8289827258 Z=42192670175 M=1033
A=9089 B=9062 C=8631 X=976917852 Y=5780879154 Z=27003043570 M=9413
A=9196 B=7046 C=5058 X=724429282 Y=6323137848 Z=11479538822 M=9021
A=3390 B=9242 C=9624 X=847232827 Y=3121080027 Z=98409380867 M=5465
A=9262 B=5217 C=8696 X=766015211 Y=4955072851 Z=43772225861 M=6554
A=5082 B=7127 C=9592 X=318536056 Y=3921371841 Z=29750668784 M=4364
A=2970 B=5888 C=9024 X=578036791 Y=2363250125 Z=47523180054 M=3920
A=5778 B=5857 C=9009 X=739485823 Y=5761424132 Z=91621525461 M=1104
A=3060 B=8850 C=6621 X=366956601 Y=5705445133 Z=35678659022 M=1266
A=4887 B=9806 C=8038 X=138714154 Y=3410892381 Z=15634804782 M=7227
A=8863 B=8605 C=9928 X=493496885 Y=8855155884 Z=77865913961 M=3014
A=3030 B=3835 C=5335 X=141712432 Y=8653093212 Z=18608360681 M=8094
A=8958 B=3829 C=7628 X=565759467 Y=8045678415 Z=56072708447 M=7494
A=3250 B=9766 C=7287 X=418710965 Y=6424143161 Z=80848503283 M=7139
A=5834 B=6830 C=9561 X=117934534 Y=6549430869 Z=36750825719 M=5336
A=3421 B=4027 C=5512 X=336605403 Y=2856732089 Z=58247937635 M=4672
A=8102 B=3532 C=7155 X=879015305 Y=1597085943 Z=14092225274 M=3969
A=9530 B=5991 C=9751 X=587566214 Y=4724169108 Z=32180009007 M=9466
A=3348 B=4857 C=9211 X=956557155 Y=5994665973 Z=78901333167 M=7956
A=6026 B=6747 C=8108 X=150837527 Y=2090931623 Z=40205083032 M=9486
A=7639 B=7647 C=8993 X=478687483 Y=1336868008 Z=28241359276 M=6213
A=8825 B=9677 C=5785 X=983263078 Y=2859940175 Z=87360859637 M=2890
A=2153 B=9038 C=7962 X=135452415 Y=3497116548 Z=22891591984 M=6894
A=3914 B=6270 C=8427 X=808610603 Y=9186861893 Z=39601819607 M=6152
A=3111 B=8698 C=6970 X=442439163 Y=3565702519 Z=89624795221 M=1063
A=4494 B=9458 C=8524 X=350994143 Y=1586008864 Z=87321426943 M=4050
A=9260 B=7320 C=9188 X=991364426 Y=4511830026 Z=28962980375 M=7922
A=9305 B=3367 C=9145 X=841266863 Y=7282252988 Z=64653234952 M=8162
A=7878 B=5849 C=9392 X=481179021 Y=1499476276 Z=80119052420 M=7441
A=4704 B=4493 C=6071 X=316617313 Y=7721573785 Z=10336573424 M=8272
A=5072 B=7098 C=9191 X=825104335 Y=5572799527 Z=41419912251 M=2214
A=7813 B=9616 C=5970 X=456757180 Y=4953046828 Z=96715825154 M=6233
A=8850 B=3478 C=9692 X=420761353 Y=3252168120 Z=30799407618 M=3206
A=6240 B=9353 C=6505 X=524495610 Y=9545191269 Z=35668598079 M=3519
A=5931 B=7887 C=7409 X=579343044 Y=3263425243 Z=97740352421 M=5829
A=2314 B=9358 C=5200 X=165008374 Y=1212804868 Z=68836998242 M=4024
A=7777 B=5739 C=8382 X=590986371 Y=6660381595 Z=67002908644 M=1225
A=6371 B=6778 C=7189 X=977781198 Y=8399153965 Z=54451836134 M=6132
A=4194 B=4609 C=6469 X=920791395 Y=3913697343 Z=44614586190 M=9497
A=8286 B=3849 C=7529 X=626454524 Y=4953029180 Z=23230611233 M=6289
A=4870 B=9034 C=7636 X=681498393 Y=6800379775 Z=38468138208 M=8593
A=8829 B=3776 C=6511 X=166648482 Y=1321311091 Z=17596221548 M=3686
A=6889 B=4513 C=6629 X=163046937 Y=6907240404 Z=23295794450 M=2547
A=2466 B=4797 C=6849 X=802102627 Y=3629410461 Z=39530059762 M=6825
A=2544 B=3431 C=5161 X=791833758 Y=1616996257 Z=37516701841 M=5554
A=5783 B=7992 C=5710 X=323014377 Y=4777170073 Z=46528789114 M=6799
A=5849 B=3745 C=9878 X=192177652 Y=6969934479 Z=17586918118 M=9062
A=9304 B=6950 C=8010 X=399378758 Y=2960471850 Z=32666901530 M=7047
A=8195 B=3239 C=8233 X=222403997 Y=2692563505 Z=67425771679 M=3489
A=7647 B=3147 C=9074 X=604653140 Y=5959026229 Z=21226265351 M=6627
A=9834 B=6857 C=7214 X=690939674 Y=5751212178 Z=56150201537 M=5339
A=3229 B=4813 C=8715 X=581191953 Y=8859161734 Z=51030553341 M=5486
A=8480 B=9333 C=6074 X=563007178 Y=3509963644 Z=77595015194 M=3453
A=9203 B=5950 C=9804 X=501888547 Y=2291844662 Z=46827267157 M=2019
A=8968 B=6952 C=9713 X=222054132 Y=5841788811 Z=53658655984 M=3727
A=4333 B=3787 C=7382 X=597991939 Y=2558652171 Z=42204189887 M=8630
A=5356 B=8476 C=8929 X=551196612 Y=1233825355 Z=89390969714 M=3255
A=4723 B=8659 C=6295 X=325458909 Y=2090415353 Z=23772113224 M=9776
A=8428 B=6706 C=8598 X=187328685 Y=7034119131 Z=45126000828 M=2944
A=2707 B=9577 C=5231 X=196269946 Y=8857687172 Z=73312980443 M=2850
A=7453 B=3370 C=6279 X=304493089 Y=6255180394 Z=21446368868 M=5175
A=3777 B=8703 C=6207 X=300931277 Y=9632174200 Z=13798861045 M=2678
A=7688 B=5344 C=7983 X=196725037 Y=1052817739 Z=84674321186 M=9981
A=8816 B=7310 C=8518 X=384778410 Y=5878027756 Z=28010698585 M=4828
A=8580 B=7420 C=5327 X=290369576 Y=4699237072 Z=60098099957 M=2838
A=9408 B=9780 C=9905 X=429025692 Y=9301254055 Z=14875052032 M=3238
A=3431 B=8188 C=8785 X=340576672 Y=3002748519 Z=75378421411 M=1041
A=5350 B=6121 C=7543 X=103529573 Y=5663330921 Z=65289681003 M=4608
A=8428 B=7213 C=6495 X=116035903 Y=1264067902 Z=20065256409 M=1588
A=2954 B=3820 C=5380 X=472269204 Y=9205005080 Z=97875352559 M=8306
A=9477 B=5972 C=5045 X=508296306 Y=4730976944 Z=80661796435 M=8682
A=5894 B=9530 C=5810 X=699759572 Y=7876607264 Z=26584376050 M=8065
A=6979 B=8763 C=5884 X=332278115 Y=3145829208 Z=23629170446 M=4531
A=7784 B=6402 C=7315 X=604103985 Y=5928939581 Z=76502007703 M=2167
A=9294 B=8825 C=6180 X=633045437 Y=9151207944 Z=51584797325 M=6240
A=9679 B=6938 C=8423 X=622999303 Y=7077527144 Z=22209069764 M=9756
A=6087 B=8399 C=6942 X=745843994 Y=2653490937 Z=70020021861 M=3623
A=5932 B=9806 C=9398 X=711371115 Y=1933994649 Z=96750413475 M=1564
A=7228 B=8424 C=7486 X=424012218 Y=6203135081 Z=81463993440 M=3169
A=5495 B=6583 C=8201 X=598962624 Y=5803890573 Z=48770711995 M=8101
A=4467 B=4732 C=9568 X=456671030 Y=4797897037 Z=54523136565 M=8941
A=7864 B=5981 C=6474 X=311427594 Y=7640301191 Z=39007166693 M=8996
A=2422 B=8457 C=6335 X=142889350 Y=1065059334 Z=33554541583 M=5871
A=9819 B=4695 C=9579 X=265515721 Y=4243330754 Z=85314939083 M=8323
A=3548 B=5876 C=8586 X=983250772 Y=5401846851 Z=89163635578 M=8909
A=5379 B=7692 C=5951 X=198416939 Y=4545791086 Z=88084724582 M=2145
A=9441 B=8645 C=9969 X=534891040 Y=3603021498 Z=20134669356 M=7632
A=5787 B=3860 C=6511 X=996623849 Y=8418998641 Z=66013403498 M=8337
A=3348 B=7261 C=8003 X=968325202 Y=2756793355 Z=95596078567 M=2773
A=5738 B=3582 C=9911 X=606319401 Y=4637201339 Z=45828414761 M=2877
A=2332 B=8337 C=5423 X=421808351 Y=9272610317 Z=82946319931 M=7178
